OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
99,39.0561,-95.1907,0.031476092,2016-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1,15,2016,1/15/2016 0:00,15
100,39.0561,-95.1907,0.130238041,2016-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2016,2/15/2016 0:00,46
101,39.0561,-95.1907,0.106215671,2016-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2016,3/15/2016 0:00,75
102,39.0561,-95.1907,0.119047128,2016-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2016,4/15/2016 0:00,106
103,39.0561,-95.1907,0.513437629,2016-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2016,5/15/2016 0:00,136
104,39.0561,-95.1907,0.552380085,2016-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2016,6/15/2016 0:00,167
105,39.0561,-95.1907,0.724078357,2016-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2016,7/15/2016 0:00,197
106,39.0561,-95.1907,0.600861788,2016-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2016,8/15/2016 0:00,228
107,39.0561,-95.1907,0.422205359,2016-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2016,9/15/2016 0:00,259
108,39.0561,-95.1907,0.22889927,2016-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2016,10/15/2016 0:00,289
109,39.0561,-95.1907,0.129687563,2016-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2016,11/15/2016 0:00,320
110,39.0561,-95.1907,0.040627949,2016-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2016,12/15/2016 0:00,350
111,39.0561,-95.1907,0.035463769,2017-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2017,2/15/2017 0:00,46
112,39.0561,-95.1907,0.127798855,2017-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2017,3/15/2017 0:00,74
113,39.0561,-95.1907,0.290282041,2017-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2017,4/15/2017 0:00,105
